programa,processos,tempo_seq,tempo_par,speedup,eficiencia,desbalanceamento,segmentos,processos_ativos
mpi_arvore,1,1516.369973,994.756147,1.524364,1.524364,0.000000,1,1
mpi_arvore,3,1516.369973,250.305136,6.058086,2.019362,0.999982,2,3
mpi_arvore,7,1516.369973,65.771710,23.055049,3.293578,0.999967,4,7
mpi_arvore,15,1516.369973,27.239153,55.668764,3.711251,0.999951,8,15
mpi_arvore,31,1516.369973,6.572999,230.696821,7.441833,0.999904,16,31
mpi_balanceado,1,1516.369973,994.762781,1.524353,1.524353,0.000000,1,1
mpi_balanceado,3,1516.369973,249.476498,6.078208,2.026069,0.749161,3,3
mpi_balanceado,7,1516.369973,65.677343,23.088175,3.298311,0.750372,7,7
mpi_balanceado,15,1516.369973,26.385998,57.468737,3.831249,0.843457,15,15
mpi_balanceado,31,1516.369973,6.571607,230.745687,7.443409,0.081821,16,16
