programa,processos,tempo_seq,tempo_par,speedup,eficiencia,desbalanceamento,segmentos,processos_ativos
mpi_arvore,1,0.211671,0.088476,2.392412,2.392412,0.000000,1,1
mpi_arvore,3,0.211671,0.020836,10.158908,3.386303,0.998602,2,3
mpi_arvore,7,0.211671,0.010287,20.576553,2.939508,0.998142,4,7
mpi_arvore,15,0.211671,0.002964,71.413968,4.760931,0.996474,8,15
mpi_arvore,31,0.211671,0.002575,82.202330,2.651688,0.996218,16,31
mpi_balanceado,1,0.211671,0.090030,2.351116,2.351116,0.000000,1,1
mpi_balanceado,3,0.211671,0.020225,10.465810,3.488603,0.748296,3,3
mpi_balanceado,7,0.211671,0.005914,35.791512,5.113073,0.770023,7,7
mpi_balanceado,15,0.211671,0.002769,76.443120,5.096208,0.868274,15,15
mpi_balanceado,31,0.211671,0.001055,200.636019,6.472130,0.082411,16,16
