experiment,rep,kind,np,workers,total_frames,total_s,io_s,compute_max_s,compute_min_s,imbalance_pct
strong,1,seq,1,0,60,163.910085,0.000000,163.910080,163.910080,0.0000
strong,1,par,2,1,60,165.103551,0.000000,164.131410,164.131410,0.0000
strong,1,par,4,3,60,55.698356,0.000000,55.374673,54.032528,2.4238
strong,1,par,8,7,60,25.154356,0.000000,25.009966,22.090962,11.6714
strong,1,par,16,15,60,12.349452,0.000000,12.318185,10.446755,15.1924
strong,1,par,32,31,60,8.905034,0.000000,8.865540,3.449465,61.0913
strong,2,seq,1,0,60,163.946782,0.000000,163.946774,163.946774,0.0000
strong,2,par,2,1,60,164.841604,0.000000,163.904435,163.904435,0.0000
strong,2,par,4,3,60,55.547995,0.000000,55.230507,53.996137,2.2349
strong,2,par,8,7,60,25.499186,0.000000,25.353932,22.088729,12.8785
strong,2,par,16,15,60,12.377112,0.000000,12.313723,10.429569,15.3013
strong,2,par,32,31,60,8.066460,0.000000,7.971553,3.437661,56.8759
strong,3,seq,1,0,60,163.868665,0.000000,163.868658,163.868658,0.0000
strong,3,par,2,1,60,164.893552,0.000000,163.932547,163.932547,0.0000
strong,3,par,4,3,60,55.594362,0.000000,55.276478,54.043164,2.2312
strong,3,par,8,7,60,25.899226,0.000000,25.753078,22.340564,13.2509
strong,3,par,16,15,60,13.048279,0.000000,12.984644,10.435170,19.6345
strong,3,par,32,31,60,7.677757,0.000000,7.540621,3.444325,54.3231
weak,1,par,2,1,10,17.978562,0.000000,17.817204,17.817204,0.0000
weak,1,par,4,3,30,24.082541,0.000000,23.922008,22.966406,3.9947
weak,1,par,8,7,70,30.501682,0.000000,30.342721,27.262267,10.1522
weak,1,par,16,15,150,41.110672,0.000000,40.954068,36.806841,10.1265
weak,1,par,32,31,310,76.000793,0.000000,75.616941,61.996599,18.0123
weak,2,par,2,1,10,17.937869,0.000000,17.777654,17.777654,0.0000
weak,2,par,4,3,30,24.065782,0.000000,23.907984,22.960807,3.9618
weak,2,par,8,7,70,30.725987,0.000000,30.567296,27.167790,11.1214
weak,2,par,16,15,150,41.102865,0.000000,40.945066,36.805696,10.1096
weak,2,par,32,31,310,73.839009,0.000000,73.504875,62.021844,15.6221
weak,3,par,2,1,10,17.949661,0.000000,17.788339,17.788339,0.0000
weak,3,par,4,3,30,24.081058,0.000000,23.923895,22.961679,4.0220
weak,3,par,8,7,70,29.814209,0.000000,29.653599,27.185953,8.3216
weak,3,par,16,15,150,41.101253,0.000000,40.943461,36.809766,10.0961
weak,3,par,32,31,310,73.677136,0.000000,73.306700,62.020295,15.3961
